code,display_name,price,high,low
600206.XSHG,有研新材,12.1,17.7,10.8
688658.XSHG,悦康药业,22.9,36.7,20.1
600252.XSHG,中恒集团,3.0,4.0,2.6
600720.XSHG,祁连山,13.8,22.5,12.1
002217.XSHE,合力泰,3.4,8.3,3.0
002610.XSHE,爱康科技,2.5,3.5,2.2
300815.XSHE,玉禾田,82.2,151.3,75.3
600643.XSHG,爱建集团,7.2,10.0,6.2
601718.XSHG,际华集团,2.7,5.3,2.3
002123.XSHE,梦网科技,14.8,24.3,13.0
600370.XSHG,三房巷,3.2,4.3,2.8
600435.XSHG,北方导航,8.1,13.0,7.5
600572.XSHG,康恩贝,4.7,8.3,4.0
603596.XSHG,伯特利,31.0,43.7,26.6
000563.XSHE,陕国投A,3.4,4.9,3.1
300567.XSHE,精测电子,52.0,88.0,45.9
600776.XSHG,东方通信,11.7,24.2,10.8
601512.XSHG,中新集团,10.0,16.5,8.8
603927.XSHG,中科软,35.7,89.9,32.6
002793.XSHE,罗欣药业,10.6,18.9,9.0
300212.XSHE,易华录,25.1,50.9,22.9
000031.XSHE,大悦城,3.9,7.2,3.5
600416.XSHG,湘电股份,15.8,23.6,14.0
601869.XSHG,长飞光纤,24.3,43.5,21.4
603129.XSHG,春风动力,138.9,195.3,122.1
601611.XSHG,中国核建,7.3,10.2,6.5
600456.XSHG,宝钛股份,41.0,63.0,35.0
600764.XSHG,中国海防,27.9,48.0,25.2
600597.XSHG,光明乳业,16.4,22.4,14.5
600675.XSHG,中华企业,3.3,5.1,3.1
000540.XSHE,中天金融,3.0,5.3,2.6
002745.XSHE,木林森,13.9,19.4,11.9
000032.XSHE,深桑达A,20.1,32.2,17.4
601375.XSHG,中原证券,4.9,8.5,4.3
002465.XSHE,海格通信,10.0,15.8,8.6
300070.XSHE,碧水源,7.3,11.7,6.8
002019.XSHE,亿帆医药,18.6,34.3,16.7
600487.XSHG,亨通光电,11.7,22.0,11.0
002146.XSHE,荣盛发展,6.3,9.7,6.0
001872.XSHE,招商港口,15.3,21.0,13.6
601568.XSHG,北元集团,9.0,14.6,8.2
300251.XSHE,光线传媒,12.4,18.0,10.7
000785.XSHE,居然之家,7.3,11.4,6.5
300866.XSHE,安克创新,151.6,204.0,130.0
601698.XSHG,中国卫通,16.1,27.3,15.0
