,code,display_name,price,high,low
0,600158.XSHG,中体产业,10.75,17.7,10.08
1,603989.XSHG,艾华集团,26.5,35.9,23.05
2,300226.XSHE,上海钢联,55.2,90.66,51.3
3,002815.XSHE,崇达技术,12.05,24.88,11.58
4,603609.XSHG,禾丰牧业,11.95,19.14,11.39
5,688106.XSHG,金宏气体,24.0,59.4,23.26
6,600729.XSHG,重庆百货,29.1,38.69,25.71
7,300348.XSHE,长亮科技,16.71,28.2,15.9
8,600007.XSHG,中国国贸,12.23,17.88,11.08
9,000555.XSHE,神州信息,13.04,21.22,12.6
10,000062.XSHE,深圳华强,12.46,20.33,10.84
11,000887.XSHE,中鼎股份,10.74,14.69,9.46
12,600373.XSHG,中文传媒,10.05,18.05,9.08
13,600639.XSHG,浦东金桥,12.24,17.43,10.93
14,002237.XSHE,恒邦股份,12.18,20.75,11.35
15,300188.XSHE,美亚柏科,17.77,25.94,17.1
16,603305.XSHG,旭升股份,32.21,61.3,30.58
17,601952.XSHG,苏垦农发,10.62,17.26,10.28
18,002268.XSHE,卫士通,17.3,33.67,15.5
19,000997.XSHE,新大陆,14.04,21.82,12.71
20,300768.XSHE,迪普科技,36.92,58.49,34.61
21,002793.XSHE,罗欣药业,10.24,18.89,8.99
22,002675.XSHE,东诚药业,18.88,29.6,18.0
23,603927.XSHG,中科软,36.43,107.96,32.6
24,300271.XSHE,华宇软件,18.98,34.01,17.07
25,600648.XSHG,外高桥,14.22,24.49,12.93
26,000028.XSHE,国药一致,40.9,57.98,36.67
27,601869.XSHG,长飞光纤,23.15,48.33,21.37
28,600566.XSHG,济川药业,20.56,35.61,18.4
29,600764.XSHG,中国海防,27.5,47.97,25.17
30,002745.XSHE,木林森,13.61,19.39,11.88
31,600271.XSHG,航天信息,11.26,28.28,10.26
32,000401.XSHE,冀东水泥,15.65,21.49,13.4
33,603228.XSHG,景旺电子,26.52,40.6,25.53
34,300773.XSHE,拉卡拉,28.58,49.28,27.14
35,600529.XSHG,山东药玻,38.95,76.85,35.4
36,000999.XSHE,华润三九,25.21,38.91,24.43
37,600380.XSHG,健康元,12.87,22.47,11.38
38,603858.XSHG,步长制药,23.2,31.48,19.9
39,002223.XSHE,鱼跃医疗,26.54,41.4,25.42
40,600598.XSHG,北大荒,15.74,22.88,15.2
41,001872.XSHE,招商港口,14.83,20.96,13.6
42,600487.XSHG,亨通光电,12.43,23.53,11.01
43,688065.XSHG,凯赛生物,80.04,198.0,74.51
44,600109.XSHG,国金证券,12.26,19.46,11.8
45,000987.XSHE,越秀金控,14.05,26.86,12.66
46,600848.XSHG,上海临港,18.43,38.25,17.8
47,600655.XSHG,豫园股份,10.16,15.25,9.82
48,601108.XSHG,财通证券,11.16,18.29,10.21
49,603019.XSHG,中科曙光,28.94,53.98,28.07
50,601878.XSHG,浙商证券,12.97,21.25,12.13
51,600332.XSHG,白云山,28.9,44.65,26.97
52,002157.XSHE,正邦科技,16.03,26.68,15.31
53,001979.XSHE,招商蛇口,12.34,22.68,11.42
54,600547.XSHG,山东黄金,22.15,33.9,20.75
55,300498.XSHE,温氏股份,17.09,34.41,16.56
56,601336.XSHG,新华保险,49.03,70.3,45.96
