,code,display_name,price,high,low
0,300226.XSHE,上海钢联,53.25,90.66,51.3
1,603989.XSHG,艾华集团,26.5,35.9,23.05
2,603609.XSHG,禾丰牧业,11.8,19.14,11.39
3,600007.XSHG,中国国贸,12.11,17.88,11.08
4,002755.XSHE,奥赛康,13.74,22.28,12.25
5,002975.XSHE,博杰股份,92.98,136.0,88.93
6,600639.XSHG,浦东金桥,11.9,17.43,10.93
7,600373.XSHG,中文传媒,10.03,18.05,9.08
8,002237.XSHE,恒邦股份,12.32,20.75,11.35
9,300451.XSHE,创业慧康,11.67,21.05,10.87
10,002273.XSHE,水晶光电,11.85,20.94,10.24
11,002268.XSHE,卫士通,17.09,35.14,15.5
12,603305.XSHG,旭升股份,33.72,61.3,30.58
13,300768.XSHE,迪普科技,37.6,58.49,34.61
14,002675.XSHE,东诚药业,19.02,29.6,18.0
15,000997.XSHE,新大陆,14.37,21.82,12.71
16,600648.XSHG,外高桥,13.71,26.61,12.93
17,600131.XSHG,国网信通,14.9,26.32,13.21
18,600566.XSHG,济川药业,20.3,35.61,18.4
19,000401.XSHE,冀东水泥,15.54,21.49,13.4
20,600271.XSHG,航天信息,11.1,29.21,10.26
21,600556.XSHG,天下秀,11.52,24.6,10.88
22,600498.XSHG,烽火通信,18.69,41.46,17.9
23,600529.XSHG,山东药玻,40.32,76.85,35.4
24,600380.XSHG,健康元,12.12,22.47,11.38
25,603228.XSHG,景旺电子,27.56,40.6,25.53
26,000999.XSHE,华润三九,25.62,38.91,24.43
27,603858.XSHG,步长制药,22.39,31.48,19.9
28,600895.XSHG,张江高科,16.52,24.49,16.0
29,002373.XSHE,千方科技,16.55,30.78,15.72
30,002926.XSHE,华西证券,10.01,14.65,9.56
31,001872.XSHE,招商港口,14.77,20.96,13.6
32,002456.XSHE,欧菲光,10.7,23.62,9.8
33,600487.XSHG,亨通光电,12.5,23.53,11.01
34,002463.XSHE,沪电股份,17.58,31.25,15.88
35,600739.XSHG,辽宁成大,21.53,31.85,20.81
36,688065.XSHG,凯赛生物,79.82,198.0,74.51
37,600848.XSHG,上海临港,18.38,38.25,17.8
38,000987.XSHE,越秀金控,14.49,26.86,12.66
39,600655.XSHG,豫园股份,10.24,15.25,9.82
40,601108.XSHG,财通证券,11.78,18.29,10.21
41,600332.XSHG,白云山,28.84,44.65,26.97
42,601878.XSHG,浙商证券,13.43,21.25,12.13
43,002157.XSHE,正邦科技,15.99,26.68,15.31
44,603160.XSHG,汇顶科技,128.28,386.63,123.47
45,002938.XSHE,鹏鼎控股,40.2,61.57,37.54
46,600547.XSHG,山东黄金,22.16,33.9,20.75
47,001979.XSHE,招商蛇口,12.55,22.68,11.42
48,300498.XSHE,温氏股份,17.33,34.41,16.56
