,code,display_name,price,high,low
0,300226.XSHE,上海钢联,53.87,90.66,51.3
1,603989.XSHG,艾华集团,26.58,35.9,23.05
2,603609.XSHG,禾丰牧业,11.78,19.14,11.39
3,600007.XSHG,中国国贸,12.2,17.88,11.08
4,002755.XSHE,奥赛康,13.75,22.28,12.25
5,002975.XSHE,博杰股份,91.89,136.0,88.93
6,600639.XSHG,浦东金桥,11.85,17.43,10.93
7,300451.XSHE,创业慧康,11.3,21.05,10.87
8,002273.XSHE,水晶光电,11.34,20.94,10.24
9,002237.XSHE,恒邦股份,12.15,20.75,11.35
10,002268.XSHE,卫士通,16.61,35.14,15.5
11,603305.XSHG,旭升股份,33.25,61.3,30.58
12,300768.XSHE,迪普科技,37.2,58.49,34.61
13,002675.XSHE,东诚药业,18.68,29.6,18.0
14,000997.XSHE,新大陆,14.32,21.82,12.71
15,600648.XSHG,外高桥,13.77,26.61,12.93
16,600566.XSHG,济川药业,20.22,35.61,18.4
17,600131.XSHG,国网信通,15.33,26.32,13.21
18,600271.XSHG,航天信息,10.98,29.21,10.26
19,000401.XSHE,冀东水泥,15.62,21.49,13.4
20,600498.XSHG,烽火通信,18.52,41.46,17.9
21,603228.XSHG,景旺电子,27.1,40.6,25.53
22,600529.XSHG,山东药玻,38.92,76.85,35.4
23,600380.XSHG,健康元,12.06,22.47,11.38
24,000999.XSHE,华润三九,25.54,38.91,24.43
25,603858.XSHG,步长制药,22.18,31.48,19.9
26,002373.XSHE,千方科技,16.21,30.78,15.72
27,600895.XSHG,张江高科,16.72,24.49,16.0
28,002926.XSHE,华西证券,10.22,14.65,9.56
29,002456.XSHE,欧菲光,10.46,23.62,9.8
30,001872.XSHE,招港B,14.91,20.96,13.6
31,002463.XSHE,沪电股份,17.17,31.25,15.88
32,600487.XSHG,亨通光电,12.61,23.53,11.01
33,688065.XSHG,凯赛生物,82.29,198.0,74.51
34,600848.XSHG,上海临港,18.49,38.25,17.8
35,600655.XSHG,豫园股份,10.17,15.25,9.82
36,000987.XSHE,越秀金控,14.75,26.86,12.66
37,601108.XSHG,财通证券,11.7,18.29,10.21
38,600332.XSHG,白云山,28.74,44.65,26.97
39,601878.XSHG,浙商证券,13.56,21.25,12.13
40,002157.XSHE,正邦科技,16.37,26.68,15.31
41,002938.XSHE,鹏鼎控股,40.0,61.57,37.54
42,600547.XSHG,山东黄金,21.78,33.9,20.75
43,001979.XSHE,招商蛇口,12.64,22.68,11.42
44,300498.XSHE,温氏股份,17.38,34.41,16.56
