,code,display_name,price,high,low
0,002583.XSHE,海能达,5.82,10.58,5.02
1,600643.XSHG,爱建集团,6.98,10.38,6.45
2,300236.XSHE,上海新阳,44.77,84.13,39.3
3,000887.XSHE,中鼎股份,10.55,14.69,9.46
4,002320.XSHE,海峡股份,8.68,15.44,7.58
5,002273.XSHE,水晶光电,11.85,20.94,10.24
6,000046.XSHE,泛海控股,2.98,5.15,2.68
7,601608.XSHG,中信重工,3.65,4.7,3.28
8,600959.XSHG,江苏有线,3.14,4.26,2.93
9,603927.XSHG,中科软,37.61,84.29,32.6
10,600566.XSHG,济川药业,20.3,29.67,18.4
11,002745.XSHE,木林森,13.3,19.39,11.88
12,600529.XSHG,山东药玻,40.32,76.85,35.4
13,002683.XSHE,宏大爆破,33.34,66.39,29.0
14,600157.XSHG,ST永泰,1.39,1.8,1.24
15,600637.XSHG,东方明珠,9.25,12.17,8.22
