,代码,名称,当前市值(亿元),目标市值(亿元),目标估值,近年平均利润(亿元),加权年数
138,600033.XSHG,福建高速,73.5499,108.31637909212499,15,7.2210919394749995,4
139,600035.XSHG,楚天高速,45.7273,76.800560308125,15,5.1200373538749995,4
140,600048.XSHG,保利地产,1793.0302,2809.13146147125,15,187.27543076474998,4
141,600052.XSHG,浙江广厦,23.6375,70.84010858925001,15,4.722673905950001,4
142,600053.XSHG,九鼎投资,68.32600000000001,76.05706316137498,15,5.070470877425,4
143,600056.XSHG,中国医药,146.2757,178.96977699150003,15,11.9313184661,4
144,600062.XSHG,华润双鹤,123.8323,134.2702670505,15,8.9513511367,4
145,600064.XSHG,南京高科,126.6856,175.23562455599998,15,11.6823749704,4
146,600066.XSHG,宇通客车,339.3969,428.04928736175,15,28.536619157449998,4
147,600067.XSHG,冠城大通,50.2841,72.2045012013,15,4.81363341342,5
148,600068.XSHG,葛洲坝,329.2416,681.690087252,15,45.4460058168,4
149,600076.XSHG,康欣新材,52.7061,64.04255747475,15,4.26950383165,4
150,600090.XSHG,*ST济堂,22.0268,61.435239389625,15,4.095682625975,4
151,600093.XSHG,易见股份,86.8774,116.94755786024997,15,7.7965038573499985,4
152,600094.XSHG,大名城,102.726,132.991858518,15,8.8661239012,4
153,600104.XSHG,上汽集团,2346.0391,4801.182936275625,15,320.078862418375,4
154,600123.XSHG,兰花科创,62.375,69.941212451625,15,4.662747496775,4
155,600133.XSHG,东湖高新,47.9668,59.65211636625,15,3.9768077577499996,4
156,600153.XSHG,建发股份,239.1066,582.4994311398749,15,38.833295409325,4
157,600162.XSHG,香江控股,62.821999999999996,92.64522383925001,15,6.176348255950001,4
158,600170.XSHG,上海建工,270.6937,427.12652054625,15,28.47510136975,4
159,600173.XSHG,卧龙地产,30.4229,55.607990154375,15,3.707199343625,4
160,600177.XSHG,雅戈尔,372.1718,436.15562980762496,15,29.077041987174997,4
161,600180.XSHG,瑞茂通,54.6865,80.05823597775,15,5.33721573185,4
162,600188.XSHG,兖州煤业,652.5003,952.9490625,15,63.5299375,4
163,600208.XSHG,新湖中宝,269.1595,518.2477629603751,15,34.549850864025004,4
164,600229.XSHG,城市传媒,43.4597,49.649966676000005,15,3.3099977784000005,4
165,600230.XSHG,沧州大化,54.1189,100.908666654,15,6.7272444436,4
166,600231.XSHG,凌钢股份,79.6976,111.217426190625,15,7.414495079375,4
167,600260.XSHG,凯乐科技,86.9542,101.25668934149999,15,6.7504459561,4
168,600261.XSHG,阳光照明,56.9224,64.58058922724999,15,4.30537261515,4
169,600266.XSHG,城建发展,108.9908,233.15651418525,15,15.543767612349999,4
