代码,名称,当前市值(亿元),目标市值(亿元),目标估值,近年平均利润(亿元),加权年数
000002.XSHE,万科A,3352.9,7108.9,19.8,302.3,6
000008.XSHE,神州高铁,64.5,106.2,23.5,4.7,5
000069.XSHE,华侨城A,860.4,2555.1,23.2,93.0,6
000338.XSHE,潍柴动力,1503.5,3252.3,42.0,62.7,6
000544.XSHE,中原环保,63.8,148.4,35.1,3.5,6
000620.XSHE,新华联,51.0,204.4,26.4,7.4,5
000656.XSHE,金科股份,376.4,2011.8,38.1,35.4,6
000671.XSHE,阳光城,257.4,897.2,28.2,23.5,5
000756.XSHE,新华制药,55.8,82.4,30.5,2.2,6
000789.XSHE,万年青,112.0,456.1,39.6,8.2,6
000797.XSHE,中国武夷,51.7,85.6,28.0,2.5,5
000823.XSHE,超声电子,55.1,82.1,32.1,2.1,5
000926.XSHE,福星股份,45.2,66.0,10.0,7.3,5
000967.XSHE,盈峰环境,256.2,684.3,69.8,6.0,5
001979.XSHE,招商蛇口,958.7,2598.7,21.7,117.0,6
002001.XSHE,新和成,821.9,1364.1,48.9,20.2,6
002020.XSHE,京新药业,86.1,156.1,30.7,3.6,6
002035.XSHE,华帝股份,66.6,212.3,34.2,4.9,5
002080.XSHE,中材科技,370.9,646.5,42.8,9.7,6
002088.XSHE,鲁阳节能,66.8,124.7,41.4,2.3,6
002091.XSHE,江苏国泰,103.2,301.1,36.5,7.0,5
002127.XSHE,南极电商,227.3,480.8,52.7,6.2,5
002128.XSHE,露天煤业,198.1,813.7,40.8,15.2,5
002226.XSHE,江南化工,87.3,187.9,57.4,2.1,6
002233.XSHE,塔牌集团,144.0,500.2,34.3,11.3,6
002283.XSHE,天润工业,72.3,113.0,27.5,3.1,6
002303.XSHE,美盈森,55.3,107.5,24.4,3.5,5
002322.XSHE,理工环科,42.8,76.3,28.6,2.2,5
002440.XSHE,闰土股份,114.4,217.1,18.3,10.0,5
002543.XSHE,万和电气,59.9,96.4,18.4,4.5,5
002626.XSHE,金达威,241.5,348.9,47.9,5.0,6
300031.XSHE,宝通科技,61.3,101.0,39.9,2.0,5
300230.XSHE,永利股份,37.1,70.1,27.9,2.4,5
300232.XSHE,洲明科技,83.9,170.7,41.1,3.0,5
300284.XSHE,苏交科,55.4,143.3,23.4,5.0,5
300388.XSHE,节能国祯,54.9,103.5,39.2,2.0,5
300732.XSHE,设研院,31.8,105.0,40.3,2.1,6
300815.XSHE,玉禾田,125.5,215.1,47.3,2.8,5
600048.XSHG,保利地产,1674.5,5167.1,22.8,174.5,5
600210.XSHG,紫江企业,72.0,177.6,36.9,4.0,6
600258.XSHG,首旅酒店,282.8,423.8,59.6,5.4,5
600295.XSHG,鄂尔多斯,237.0,459.4,46.0,6.6,5
600325.XSHG,华发股份,131.7,815.5,36.5,16.8,5
600326.XSHG,西藏天路,66.3,110.7,29.3,3.2,5
600352.XSHG,浙江龙盛,469.5,809.3,19.6,32.4,5
600373.XSHG,中文传媒,145.3,236.1,14.3,14.9,6
600383.XSHG,金地集团,531.4,2613.0,30.8,69.0,5
600461.XSHG,洪城水业,63.9,102.5,25.9,3.0,5
600565.XSHG,迪马股份,76.6,427.2,30.2,10.3,6
600566.XSHG,济川药业,177.1,339.3,23.8,12.3,5
600585.XSHG,海螺水泥,2684.6,9754.1,34.3,217.4,6
600622.XSHG,光大嘉宝,48.3,72.7,15.4,4.9,5
600639.XSHG,浦东金桥,133.6,215.4,23.1,7.8,5
600657.XSHG,信达地产,108.7,217.8,14.7,14.5,6
600663.XSHG,陆家嘴,450.2,651.3,18.3,31.2,6
600665.XSHG,天地源,26.6,74.7,20.4,3.1,5
600668.XSHG,尖峰集团,48.1,197.7,34.3,4.3,5
600694.XSHG,大商股份,62.9,96.0,11.2,8.2,5
600729.XSHG,重庆百货,128.3,207.3,23.8,7.1,6
600757.XSHG,长江传媒,64.7,170.1,24.4,6.1,5
600846.XSHG,同济科技,63.5,161.3,35.5,3.0,5
600987.XSHG,航民股份,59.9,92.0,13.8,6.0,5
601019.XSHG,山东出版,122.1,204.1,14.4,12.9,5
601058.XSHG,赛轮轮胎,288.0,427.3,49.0,5.5,5
601155.XSHG,新城控股,1079.4,5552.4,47.3,82.1,6
601567.XSHG,三星医疗,88.2,160.9,17.9,7.6,5
601811.XSHG,新华文轩,122.8,183.6,16.8,9.3,6
601886.XSHG,江河集团,83.8,184.2,25.3,5.1,6
601900.XSHG,南方传媒,69.1,124.3,19.2,5.6,5
603018.XSHG,华设集团,62.0,136.8,29.0,3.6,6
603167.XSHG,渤海轮渡,41.4,87.4,24.2,3.1,5
603357.XSHG,设计总院,42.2,72.7,22.2,2.9,6
603365.XSHG,水星家纺,41.6,65.2,23.5,2.4,5
603379.XSHG,三美股份,100.1,144.2,20.4,7.7,4
603385.XSHG,惠达卫浴,44.8,80.8,29.9,2.3,6
603458.XSHG,勘设股份,40.9,144.9,35.0,3.2,6
603808.XSHG,歌力思,47.5,70.9,22.4,2.8,5
603871.XSHG,嘉友国际,46.7,90.1,32.4,2.1,5
605009.XSHG,豪悦护理,166.1,349.3,78.1,2.9,4
