,股票代码,股票名称,2019年报利润(亿元）
0,000002.XSHE,万科A,388.7208688132
1,000069.XSHE,华侨城A,123.40101773120001
2,000090.XSHE,天健集团,12.361937646500001
3,000333.XSHE,美的集团,242.11222
4,000425.XSHE,徐工机械,36.2057246502
5,000517.XSHE,荣安地产,18.8885643453
6,000528.XSHE,柳工,10.1724916052
7,000537.XSHE,广宇发展,31.421215423699998
8,000547.XSHE,航天发展,6.7526545273
9,000568.XSHE,泸州老窖,46.419888570299996
10,000582.XSHE,北部湾港,9.8422700706
11,000596.XSHE,古井贡酒,20.9752773986
12,000656.XSHE,金科股份,56.7582625649
13,000661.XSHE,长春高新,17.750091970699998
14,000672.XSHE,上峰水泥,23.3147634552
15,000703.XSHE,恒逸石化,32.0134842533
16,000963.XSHE,华东医药,28.1311870211
17,000967.XSHE,盈峰环境,13.6145375417
18,002032.XSHE,苏泊尔,19.1991419125
19,002035.XSHE,华帝股份,7.477653641900001
20,002080.XSHE,中材科技,13.799654778199999
21,002127.XSHE,南极电商,12.061369183800002
22,002128.XSHE,露天煤业,24.6649473275
23,002142.XSHE,宁波银行,137.14237
24,002146.XSHE,荣盛发展,91.2037346699
25,002179.XSHE,中航光电,10.71086932
26,002203.XSHE,海亮股份,10.6340278798
27,002262.XSHE,恩华药业,6.6330878348
28,002271.XSHE,东方雨虹,20.6594468798
29,002463.XSHE,沪电股份,12.05980495
30,002511.XSHE,中顺洁柔,6.038326508300001
31,002602.XSHE,世纪华通,22.8537312016
32,002607.XSHE,中公教育,18.0454868801
33,002867.XSHE,周大生,9.9142092496
34,002916.XSHE,深南电路,12.327754703399998
35,300003.XSHE,乐普医疗,17.2530619117
36,300014.XSHE,亿纬锂能,15.2200806591
37,300015.XSHE,爱尔眼科,13.789209704000001
38,300088.XSHE,长信科技,8.4543664281
39,300284.XSHE,苏交科,7.2361338032
40,300383.XSHE,光环新网,8.2459076743
41,300628.XSHE,亿联网络,12.352946183599999
42,300760.XSHE,迈瑞医疗,46.8064675
43,300761.XSHE,立华股份,19.642514019
44,600009.XSHG,上海机场,50.3021005262
45,600031.XSHG,三一重工,112.06662
46,600057.XSHG,厦门象屿,11.0596164777
47,600167.XSHG,联美控股,15.915384100399999
48,600273.XSHG,嘉化能源,12.2697354386
49,600276.XSHG,恒瑞医药,53.280275195600005
50,600277.XSHG,亿利洁能,8.999645447799999
51,600295.XSHG,鄂尔多斯,13.4087223125
52,600325.XSHG,华发股份,27.8468890845
53,600340.XSHG,华夏幸福,146.11778496719998
54,600436.XSHG,片仔癀,13.743768238
55,600449.XSHG,宁夏建材,7.6890013504
56,600466.XSHG,蓝光发展,34.5906500813
57,600491.XSHG,龙元建设,10.207471585499999
58,600510.XSHG,黑牡丹,7.8134073012
59,600585.XSHG,海螺水泥,335.92755201
60,600639.XSHG,浦东金桥,10.849273153
61,600643.XSHG,爱建集团,13.1885195409
62,600668.XSHG,尖峰集团,7.2468805543
63,600729.XSHG,重庆百货,9.8530668349
64,600779.XSHG,水井坊,8.2628128731
65,600801.XSHG,华新水泥,63.42304317
66,600809.XSHG,山西汾酒,19.3850545113
67,600846.XSHG,同济科技,6.071764946799999
68,600872.XSHG,中炬高新,7.1794313448
69,600901.XSHG,江苏租赁,15.8326767277
70,600919.XSHG,江苏银行,146.18609
71,601000.XSHG,唐山港,17.7765875208
72,601009.XSHG,南京银行,124.53477
73,601100.XSHG,恒立液压,12.9619982584
74,601155.XSHG,新城控股,126.54028071
75,601186.XSHG,中国铁建,201.97378
76,601233.XSHG,桐昆股份,28.8441143569
77,601318.XSHG,中国平安,1494.07
78,601577.XSHG,长沙银行,50.80248
79,601677.XSHG,明泰铝业,9.1700472056
80,601717.XSHG,郑煤机,10.4025324673
81,601799.XSHG,星宇股份,7.8991187684
82,601860.XSHG,紫金银行,14.17092
83,601888.XSHG,中国中免,46.289886864799996
84,601997.XSHG,贵阳银行,58.00431
85,603288.XSHG,海天味业,53.53185029350001
86,603298.XSHG,杭叉集团,6.446048779
87,603338.XSHG,浙江鼎力,6.940812369400001
88,603368.XSHG,柳药股份,6.85426064
89,603369.XSHG,今世缘,14.580979363199999
90,603517.XSHG,绝味食品,8.012001531000001
91,603568.XSHG,伟明环保,9.7445207412
92,603589.XSHG,口子窖,17.2020549548
93,603609.XSHG,禾丰牧业,11.9934735596
94,603658.XSHG,安图生物,7.7416395763
95,603707.XSHG,健友股份,6.0496160492
96,603816.XSHG,顾家家居,11.6116236824
97,603833.XSHG,欧派家居,18.3944851668
98,603899.XSHG,晨光文具,10.6008362503
