,code,display_name,price,high,low
0,000656.XSHE,金科股份,7.33,11.27,6.51
1,603301.XSHG,振德医疗,60.06,106.11,55.24
2,601975.XSHG,招商南油,2.37,3.38,2.17
3,002100.XSHE,天康生物,12.11,19.7,10.4
4,600823.XSHG,世茂股份,4.6,7.4,4.23
5,688298.XSHG,东方生物,130.1,284.2,120.27
6,002605.XSHE,姚记科技,24.94,46.0,22.16
7,600748.XSHG,上实发展,4.67,7.84,4.27
8,600208.XSHG,新湖中宝,3.12,5.12,2.92
9,002382.XSHE,蓝帆医疗,21.53,38.4,19.6
10,002030.XSHE,达安基因,31.88,51.2,31.05
11,000999.XSHE,华润三九,26.17,38.91,24.43
12,600094.XSHG,大名城,3.89,8.53,3.52
13,688009.XSHG,中国通号,5.82,10.33,5.24
14,688289.XSHG,圣湘生物,104.08,154.44,94.32
15,002697.XSHE,红旗连锁,6.15,13.5,5.71
16,002467.XSHE,二六三,5.78,10.17,5.4
17,002755.XSHE,奥赛康,13.94,22.28,12.25
18,002191.XSHE,劲嘉股份,10.25,13.81,8.91
19,002980.XSHE,华盛昌,45.96,91.41,40.51
20,002022.XSHE,科华生物,15.67,25.99,15.08
21,600415.XSHG,小商品城,5.13,8.41,4.4
22,300070.XSHE,碧水源,8.04,11.83,6.84
23,002555.XSHE,三七互娱,28.78,50.7,24.5
24,603601.XSHG,再升科技,11.58,19.45,9.82
25,300639.XSHE,凯普生物,34.75,60.55,33.59
26,300676.XSHE,华大基因,129.36,199.4,124.78
27,603096.XSHG,新经典,44.07,70.89,40.18
28,002376.XSHE,新北洋,10.08,13.99,8.66
29,688513.XSHG,苑东生物,45.44,88.0,44.01
30,002216.XSHE,三全食品,24.62,40.38,23.67
31,300383.XSHE,光环新网,18.42,31.48,15.81
32,000063.XSHE,中兴通讯,31.63,56.4,30.16
33,002837.XSHE,英维克,19.37,35.78,16.76
34,300572.XSHE,安车检测,36.75,79.95,34.17
35,002916.XSHE,深南电路,112.55,198.0,99.99
36,688299.XSHG,长阳科技,25.1,34.58,21.45
