,code,display_name,price,high,low
0,603305.XSHG,旭升股份,34.2,61.3,30.58
1,300768.XSHE,迪普科技,38.55,58.49,34.61
2,000156.XSHE,华数传媒,8.63,13.08,7.84
3,601928.XSHG,凤凰传媒,6.34,9.02,5.96
4,002481.XSHE,双塔食品,13.07,20.12,11.8
5,300783.XSHE,三只松鼠,41.65,91.31,39.25
6,688027.XSHG,国盾量子,210.43,496.0,192.16
7,601778.XSHG,晶科科技,6.31,10.52,5.65
8,002850.XSHE,科达利,75.07,103.39,67.58
9,300212.XSHE,易华录,26.97,50.9,24.26
10,600566.XSHG,济川药业,20.3,29.67,18.4
11,300088.XSHE,长信科技,8.07,14.0,7.37
12,300623.XSHE,捷捷微电,40.93,61.13,38.09
13,600155.XSHG,华创阳安,11.59,16.34,10.61
14,000540.XSHE,中天金融,2.9,5.3,2.59
15,600675.XSHG,中华企业,3.42,5.14,3.15
16,600271.XSHG,航天信息,11.38,25.55,10.26
17,002465.XSHE,海格通信,9.39,15.96,8.69
18,600535.XSHG,天士力,14.37,19.97,13.08
19,603228.XSHG,景旺电子,26.69,40.6,25.53
20,600498.XSHG,烽火通信,19.62,41.46,17.9
21,688088.XSHG,虹软科技,56.73,109.73,50.94
22,002242.XSHE,九阳股份,30.57,45.98,27.46
23,600167.XSHG,联美控股,10.35,16.03,9.51
24,600859.XSHG,王府井,32.2,79.19,29.47
25,600515.XSHG,*ST基础,6.46,10.93,5.78
26,000999.XSHE,华润三九,26.97,38.91,24.43
27,600895.XSHG,张江高科,17.07,24.49,16.0
28,600208.XSHG,新湖中宝,3.17,5.12,2.92
29,002373.XSHE,千方科技,17.28,30.78,15.72
30,001872.XSHE,招商港口,14.86,20.96,13.6
31,002439.XSHE,启明星辰,30.6,47.67,27.58
32,002030.XSHE,达安基因,32.75,51.2,31.05
33,002146.XSHE,荣盛发展,6.66,9.7,5.95
34,603712.XSHG,七一二,38.58,58.69,35.81
35,002463.XSHE,沪电股份,17.65,31.25,15.88
36,300223.XSHE,北京君正,66.1,142.26,63.21
37,600026.XSHG,中远海能,6.57,9.7,6.02
38,600372.XSHG,中航电子,16.95,23.43,15.5
39,300308.XSHE,中际旭创,49.6,73.36,46.66
40,000513.XSHE,丽珠集团,37.72,62.2,34.78
41,002185.XSHE,华天科技,13.33,20.8,12.52
42,600848.XSHG,上海临港,19.16,29.12,17.8
43,000860.XSHE,顺鑫农业,55.68,79.0,51.28
44,688777.XSHG,中控技术,84.34,130.6,78.11
45,600655.XSHG,豫园股份,10.9,15.25,9.82
46,600079.XSHG,人福医药,28.3,39.54,25.89
47,002252.XSHE,上海莱士,7.87,11.15,7.1
48,688256.XSHG,寒武纪,148.07,297.77,136.08
49,688009.XSHG,中国通号,5.85,10.66,5.24
50,603160.XSHG,汇顶科技,138.21,386.63,123.47
51,000617.XSHE,中油资本,6.54,9.74,6.07
52,001979.XSHE,招商蛇口,12.74,20.19,11.42
53,601360.XSHG,三六零,16.32,29.39,14.91
54,600196.XSHG,复星医药,47.01,79.19,44.56
55,600050.XSHG,中国联通,4.48,6.88,4.01
56,000063.XSHE,中兴通讯,32.7,56.4,30.16
57,601857.XSHG,中国石油,4.45,6.26,4.04
