,code,display_name,price,high,low
0,688100.XSHG,威胜信息,21.31,40.07,19.09
1,300027.XSHE,华谊兄弟,3.84,10.8,3.21
2,002440.XSHE,闰土股份,9.99,17.5,8.44
3,000937.XSHE,冀中能源,3.54,6.01,2.84
4,600682.XSHG,南京新百,9.83,41.22,7.55
5,300775.XSHE,三角防务,28.8,55.92,20.6
6,688298.XSHG,东方生物,129.22,284.2,120.27
7,601699.XSHG,潞安环能,5.94,13.46,5.18
8,300296.XSHE,利亚德,7.04,17.05,5.1
9,601228.XSHG,广州港,3.34,6.51,2.91
10,600398.XSHG,海澜之家,7.12,13.07,5.53
11,600157.XSHG,ST永泰,1.43,4.22,1.16
12,002153.XSHE,石基信息,31.66,45.95,26.7
13,600705.XSHG,中航资本,3.97,6.9,3.62
14,601828.XSHG,美凯龙,9.54,20.52,8.04
15,600795.XSHG,国电电力,2.25,3.17,1.74
16,001965.XSHE,招商公路,7.59,13.98,6.34
17,600018.XSHG,上港集团,4.85,8.73,3.83
