code,display_name,price
300677.XSHE,英科医疗,159.6
688399.XSHG,硕世生物,156.3
688289.XSHG,圣湘生物,99.0
002737.XSHE,葵花药业,14.1
600295.XSHG,鄂尔多斯,18.0
603661.XSHG,恒林股份,59.0
600260.XSHG,凯乐科技,8.8
002664.XSHE,长鹰信质,14.0
002532.XSHE,天山铝业,10.0
300428.XSHE,四通新材,13.3
002803.XSHE,吉宏股份,29.7
300770.XSHE,新媒股份,50.4
300088.XSHE,长信科技,7.7
603053.XSHG,成都燃气,10.7
002635.XSHE,安洁科技,14.2
600426.XSHG,华鲁恒升,38.7
300729.XSHE,乐歌股份,35.7
603920.XSHG,世运电路,17.9
300735.XSHE,光弘科技,13.4
600006.XSHG,东风汽车,6.8
300212.XSHE,易华录,27.0
002597.XSHE,金禾实业,33.0
300002.XSHE,神州泰岳,4.7
300433.XSHE,蓝思科技,26.8
300326.XSHE,凯利泰,10.3
002938.XSHE,鹏鼎控股,33.0
002600.XSHE,领益智造,8.7
002601.XSHE,龙蟒佰利,31.8
300773.XSHE,拉卡拉,31.9
600211.XSHG,西藏药业,53.8
600764.XSHG,中国海防,29.1
600732.XSHG,爱旭股份,11.3
000625.XSHE,长安汽车,16.8
300136.XSHE,信维通信,28.7
300873.XSHE,海晨股份,43.0
000869.XSHE,张裕A,35.3
000555.XSHE,神州信息,15.1
601168.XSHG,西部矿业,13.4
000861.XSHE,海印股份,2.4
002475.XSHE,立讯精密,36.2
601899.XSHG,紫金矿业,10.6
300115.XSHE,长盈精密,20.4
688788.XSHG,科思科技,109.1
300485.XSHE,赛升药业,12.2
300856.XSHE,科思股份,52.8
600438.XSHG,通威股份,34.0
603218.XSHG,日月股份,33.7
002609.XSHE,捷顺科技,9.7
688189.XSHG,南新制药,39.0
688318.XSHG,财富趋势,153.1
600641.XSHG,万业企业,13.5
600660.XSHG,福耀玻璃,48.3
601015.XSHG,陕西黑猫,6.8
601908.XSHG,京运通,7.7
300207.XSHE,欣旺达,22.5
002662.XSHE,京威股份,3.5
688086.XSHG,紫晶存储,28.5
000968.XSHE,蓝焰控股,6.4
