code,display_name,price
688019.XSHG,安集科技,216.0
600641.XSHG,万业企业,13.6
688598.XSHG,金博股份,162.4
600006.XSHG,东风汽车,7.1
000155.XSHE,川能动力,11.4
600037.XSHG,歌华有线,9.7
002273.XSHE,水晶光电,12.6
603533.XSHG,掌阅科技,32.9
000555.XSHE,神州信息,15.2
002481.XSHE,双塔食品,12.3
002850.XSHE,科达利,71.5
603520.XSHG,司太立,65.0
300298.XSHE,三诺生物,33.3
002597.XSHE,金禾实业,33.2
300783.XSHE,三只松鼠,43.5
603583.XSHG,捷昌驱动,64.8
300088.XSHE,长信科技,8.1
688408.XSHG,中信博,139.8
688088.XSHG,虹软科技,49.8
002497.XSHE,雅化集团,18.0
603129.XSHG,春风动力,150.0
300115.XSHE,长盈精密,20.9
300618.XSHE,寒锐钴业,69.0
300763.XSHE,锦浪科技,149.9
688686.XSHG,奥普特,267.1
300073.XSHE,当升科技,51.7
688055.XSHG,龙腾光电,7.2
600859.XSHG,王府井,33.1
300773.XSHE,拉卡拉,33.0
002030.XSHE,达安基因,31.1
300136.XSHE,信维通信,29.2
300037.XSHE,新宙邦,82.5
002384.XSHE,东山精密,19.5
603218.XSHG,日月股份,34.8
300724.XSHE,捷佳伟创,109.7
300207.XSHE,欣旺达,22.5
601689.XSHG,拓普集团,36.4
002044.XSHE,美年健康,12.1
002532.XSHE,天山铝业,10.3
002920.XSHE,德赛西威,98.3
002414.XSHE,高德红外,35.0
600426.XSHG,华鲁恒升,38.5
002600.XSHE,领益智造,8.8
600176.XSHG,中国巨石,18.7
002938.XSHE,鹏鼎控股,33.5
603799.XSHG,华友钴业,76.8
000625.XSHE,长安汽车,17.4
300274.XSHE,阳光电源,69.1
002812.XSHE,恩捷股份,121.6
600703.XSHG,三安光电,25.0
600196.XSHG,复星医药,45.5
600660.XSHG,福耀玻璃,49.6
300433.XSHE,蓝思科技,27.5
600438.XSHG,通威股份,33.5
002475.XSHE,立讯精密,36.6
002304.XSHE,洋河股份,161.2
601899.XSHG,紫金矿业,10.7
601012.XSHG,隆基股份,89.6
