code,display_name,price
000861.XSHE,海印股份,2.4
002664.XSHE,长鹰信质,13.8
300873.XSHE,海晨股份,44.0
300485.XSHE,赛升药业,12.1
603661.XSHG,恒林股份,59.2
002609.XSHE,捷顺科技,9.6
603327.XSHG,福蓉科技,16.2
002991.XSHE,甘源食品,82.9
603920.XSHG,世运电路,18.1
688788.XSHG,科思科技,106.5
300394.XSHE,天孚通信,41.1
603416.XSHG,信捷电气,67.9
600260.XSHG,凯乐科技,8.8
300602.XSHE,飞荣达,17.5
688399.XSHG,硕世生物,156.0
300002.XSHE,神州泰岳,4.8
603053.XSHG,成都燃气,10.7
002635.XSHE,安洁科技,14.2
688318.XSHG,财富趋势,152.2
601015.XSHG,陕西黑猫,6.8
002803.XSHE,吉宏股份,30.1
300770.XSHE,新媒股份,50.2
002959.XSHE,小熊电器,83.4
300451.XSHE,创业慧康,11.1
600641.XSHG,万业企业,13.5
600211.XSHG,西藏药业,52.8
600006.XSHG,东风汽车,6.7
000555.XSHE,神州信息,15.0
603583.XSHG,捷昌驱动,63.6
002597.XSHE,金禾实业,33.0
601908.XSHG,京运通,7.6
300088.XSHE,长信科技,7.7
300115.XSHE,长盈精密,20.7
603983.XSHG,丸美股份,55.0
600764.XSHG,中国海防,28.7
000869.XSHE,张裕A,34.7
600340.XSHG,华夏幸福,6.7
300773.XSHE,拉卡拉,33.7
300136.XSHE,信维通信,29.2
002384.XSHE,东山精密,18.9
603218.XSHG,日月股份,35.4
300207.XSHE,欣旺达,22.1
300677.XSHE,英科医疗,157.4
002600.XSHE,领益智造,8.8
600426.XSHG,华鲁恒升,37.8
002601.XSHE,龙蟒佰利,31.3
002938.XSHE,鹏鼎控股,33.5
000625.XSHE,长安汽车,16.8
600660.XSHG,福耀玻璃,48.7
300433.XSHE,蓝思科技,27.9
002475.XSHE,立讯精密,37.4
601899.XSHG,紫金矿业,10.6
601012.XSHG,隆基股份,90.6
