code,display_name,price
300677.XSHE,英科医疗,167.0
002208.XSHE,合肥城建,7.6
688289.XSHG,圣湘生物,103.2
603113.XSHG,金能科技,17.9
600295.XSHG,鄂尔多斯,18.4
300702.XSHE,天宇股份,75.5
300194.XSHE,福安药业,4.4
603416.XSHG,信捷电气,67.2
000625.XSHE,长安汽车,16.2
300773.XSHE,拉卡拉,33.8
300326.XSHE,凯利泰,11.0
603218.XSHG,日月股份,34.2
002959.XSHE,小熊电器,80.8
300394.XSHE,天孚通信,46.1
600521.XSHG,华海药业,21.8
002475.XSHE,立讯精密,38.4
300451.XSHE,创业慧康,10.8
002609.XSHE,捷顺科技,10.1
688219.XSHG,会通股份,17.8
002991.XSHE,甘源食品,80.4
002481.XSHE,双塔食品,12.5
601038.XSHG,一拖股份,12.6
