code,display_name,price
300147.XSHE,香雪制药,7.6
000861.XSHE,海印股份,2.3
603528.XSHG,多伦科技,8.3
300215.XSHE,电科院,6.8
002658.XSHE,雪迪龙,9.4
002989.XSHE,中天精装,36.5
002208.XSHE,合肥城建,7.6
603393.XSHG,新天然气,22.4
002609.XSHE,捷顺科技,10.1
300572.XSHE,安车检测,33.6
300785.XSHE,值得买,82.8
300267.XSHE,尔康制药,3.9
688219.XSHG,会通股份,17.3
300394.XSHE,天孚通信,44.9
000710.XSHE,贝瑞基因,31.8
688658.XSHG,悦康药业,23.0
601015.XSHG,陕西黑猫,7.3
300792.XSHE,壹网壹创,78.4
603313.XSHG,梦百合,32.1
600682.XSHG,南京新百,9.8
002793.XSHE,罗欣药业,9.9
300395.XSHE,菲利华,40.6
300702.XSHE,天宇股份,72.7
002481.XSHE,双塔食品,12.8
603005.XSHG,晶方科技,63.5
300308.XSHE,中际旭创,34.4
600295.XSHG,鄂尔多斯,18.9
300741.XSHE,华宝股份,42.8
603678.XSHG,火炬电子,61.2
600521.XSHG,华海药业,20.7
002705.XSHE,新宝股份,39.0
002353.XSHE,杰瑞股份,34.2
601168.XSHG,西部矿业,14.6
603185.XSHG,上机数控,136.8
601865.XSHG,福莱特,28.4
300677.XSHE,英科医疗,164.6
600143.XSHG,金发科技,21.7
000625.XSHE,长安汽车,16.6
002475.XSHE,立讯精密,36.7
