code,display_name,price
600346.XSHG,恒力石化,29.2
600167.XSHG,联美控股,9.7
300639.XSHE,凯普生物,36.8
002384.XSHE,东山精密,17.7
600176.XSHG,中国巨石,15.7
603112.XSHG,华翔股份,12.9
603053.XSHG,成都燃气,10.4
605009.XSHG,豪悦护理,81.3
002984.XSHE,森麒麟,33.3
300770.XSHE,新媒股份,55.1
300729.XSHE,乐歌股份,37.0
605168.XSHG,三人行,125.9
603218.XSHG,日月股份,26.2
002597.XSHE,金禾实业,34.3
605007.XSHG,五洲特纸,21.2
002938.XSHE,鹏鼎控股,33.0
002705.XSHE,新宝股份,34.2
300870.XSHE,欧陆通,50.5
603377.XSHG,东方时尚,10.5
300735.XSHE,光弘科技,10.4
002643.XSHE,万润股份,15.8
300502.XSHE,新易盛,43.1
603690.XSHG,至纯科技,31.5
002989.XSHE,中天精装,38.0
002916.XSHE,深南电路,83.2
002053.XSHE,云南能投,7.8
300115.XSHE,长盈精密,19.3
300758.XSHE,七彩化学,22.8
002624.XSHE,完美世界,22.6
002912.XSHE,中新赛克,40.7
000547.XSHE,航天发展,18.5
601908.XSHG,京运通,7.9
603730.XSHG,岱美股份,23.0
300470.XSHE,中密控股,39.2
300856.XSHE,科思股份,51.6
002475.XSHE,立讯精密,39.8
603678.XSHG,火炬电子,62.5
300033.XSHE,同花顺,120.6
002459.XSHE,晶澳科技,30.1
600038.XSHG,中直股份,54.1
002970.XSHE,锐明技术,42.3
605299.XSHG,舒华体育,13.5
688100.XSHG,威胜信息,23.5
002651.XSHE,利君股份,9.8
002025.XSHE,航天电器,49.1
600745.XSHG,闻泰科技,87.8
688036.XSHG,传音控股,177.0
300073.XSHE,当升科技,49.8
603005.XSHG,晶方科技,61.5
300634.XSHE,彩讯股份,15.8
601689.XSHG,拓普集团,33.4
300908.XSHE,仲景食品,70.7
